State,Year,numschools offering,Total num,yield per teacher,diff from prev year,percentincrease,numpassed,percent passed,numfemale,numfemale passed,percentage female passed,percent female,numBlack,numBlack Passed,percent Black passed,percent Black,numBlack Males,numBlack Males passed,percent Black Male passed,numBlack Females,numBlack Females passed,percentBlack Females passed,numHispanic,numHispanic passed,percentHispanic passed,numHispanic Females,numHispanic Females passed,percentH females passed,percentHispanic,numHispanic males,numHispanic males passed,percent Hismalepassed,numwhite ,numwhite passed,percentwhite pass,numwhite males,numwhite females,numasian,numasian passed,percentasian passed,numAsian Male,numAsian Female
Alabama,2008,7,41,5.857142857,14,51.85185185,34,82.92682927,5,5,100,12.19512195,3,*,*,7.317073171,3,*,*,0,0,0,1,*,*,0,0,0,2.43902439,,,,,,,,,,,,,
Alabama,2009,8,24,3,-17,-41.46341463,14,58.33333333,4,*,*,16.66666667,3,*,*,12.5,2,*,*,1,*,*,0,0,0,0,0,0,0,,,,,,,,,,,,,
Alabama,2010,15,104,6.933333333,80,333.3333333,52,50,17,6,35.29411765,16.34615385,11,3,27.27272727,10.57692308,8,2,25,3,*,*,5,*,*,0,0,0,4.807692308,,,,,,,,,,,,,
Alabama,2011,12,99,8.25,-5,-4.807692308,61,61.61616162,17,7,41.17647059,17.17171717,18,5,27.77777778,18.18181818,11,3,27.27272727,7,2,28.57142857,1,*,*,0,0,0,1.01010101,,,,,,,,,,,,,
Alabama,2012,14,97,6.928571429,-2,-2.02020202,61,62.88659794,12,10,83.33333333,12.37113402,9,5,55.55555556,9.278350515,8,4,50,1,*,*,2,*,*,0,0,0,2.06185567,,,,,,,,,,,,,
Alabama,2013,20,126,6.3,29,29.89690722,99,78.57142857,22,17,77.27272727,17.46031746,8,6,75,6.349206349,6,5,83.33333333,2,*,*,1,*,*,0,0,0,0.793650794,,,,,,,,,,,,,
Arkansas,2006,,98,,,,33,33.67346939,15,4,26.66666667,15.30612245,10,0,0,10.20408163,5,0,0,5,0,0,2,*,*,0,0,0,2.040816327,,,,,,,,,,,,,
Arkansas,2007,,83,,-15,-15.30612245,22,26.5060241,5,0,0,6.024096386,3,*,*,3.614457831,2,*,*,1,*,*,3,*,*,0,0,0,3.614457831,,,,,,,,,,,,,
Arkansas,2008,10,117,11.7,34,40.96385542,42,35.8974359,18,5,27.77777778,15.38461538,10,2,20,8.547008547,8,2,25,2,*,*,2,*,*,1,*,*,1.709401709,,,,,,,,,,,,,
Arkansas,2009,11,106,9.636363636,-11,-9.401709402,35,33.01886792,13,4,30.76923077,12.26415094,6,1,16.66666667,5.660377358,6,1,16.66666667,0,0,0,9,*,*,1,*,*,8.490566038,,,,,,,,,,,,,
Arkansas,2010,11,121,11,15,14.1509434,51,42.14876033,17,9,52.94117647,14.04958678,9,1,11.11111111,7.438016529,5,0,0,4,*,*,10,2,20,3,*,*,8.26446281,,,,,,,,,,,,,
Arkansas,2011,10,152,15.2,31,25.61983471,62,40.78947368,19,9,47.36842105,12.5,7,2,28.57142857,4.605263158,7,2,28.57142857,0,0,0,21,2,9.523809524,2,*,*,13.81578947,,,,,,,,,,,,,
Arkansas,2012,11,146,13.27272727,-6,-3.947368421,42,28.76712329,26,4,15.38461538,17.80821918,3,*,*,2.054794521,2,*,*,1,*,*,18,1,5.555555556,2,*,*,12.32876712,,,,,,,,,,,,,
Arkansas,2013,11,173,15.72727273,27,18.49315068,85,49.13294798,48,17,35.41666667,27.74566474,7,3,42.85714286,4.046242775,4,*,*,3,*,*,14,3*,21.43*,3,*,*,8.092485549,,,,,,,,,,,,,
California,2006,,2224,,,,1277,57.41906475,452,234,51.7699115,20.32374101,45,17,37.77777778,2.023381295,34,14,41.17647059,11,3,27.27272727,168,51*,30.35*,29,8,27.5862069,7.553956835,,,,,,,,,,,,,
California,2007,,2151,,-73,-3.282374101,1220,56.71780567,463,234,50.5399568,21.52487215,37,10,27.02702703,1.720130172,29,7,24.13793103,8,3,37.5,194,49,25.25773196,50,4,8,9.019060902,,,,,,,,,,,,,
California,2008,169,2135,12.63313609,-16,-0.743840074,1285,60.18735363,441,246,55.78231293,20.6557377,27,12,44.44444444,1.264637002,22,10,45.45454545,5,2,40,199,58*,29.15*,43,6,13.95348837,9.320843091,,,,,,,,,,,,,
California,2009,173,2193,12.67630058,58,2.716627635,1480,67.4874601,458,274,59.82532751,20.88463292,30,12,40,1.367989056,22,10,45.45454545,8,2,25,207,70,33.81642512,58,7*,12.07*,9.439124487,,,,,,,,,,,,,
California,2010,176,2793,15.86931818,600,27.35978112,1933,69.20873613,582,360,61.8556701,20.83780881,33,20,60.60606061,1.181525242,26,16,61.53846154,7,4,57.14285714,217,88*,40.55*,44,10*,22.73*,7.769423559,,,,,,,,,,,,,
California,2011,174,3101,17.82183908,308,11.02756892,2224,71.71880039,659,429,65.09863429,21.25120929,29,15,51.72413793,0.935182199,21,10,47.61904762,8,5,62.5,230,101*,43.91*,49,10,20.40816327,7.41696227,,,,,,,,,,,,,
California,2012,192,3920,20.41666667,819,26.41083521,2862,73.01020408,833,553,66.38655462,21.25,45,22,48.88888889,1.147959184,30,18,60,15,4,26.66666667,314,136,43.31210191,75,22*,29.33*,8.010204082,,,,,,,,,,,,,
California,2013,211,4964,23.52606635,1044,26.63265306,3761,75.76551168,1074,776,72.25325885,21.6357776,74,42,56.75675676,1.49073328,58,34,58.62068966,16,8,50,392,186,47.44897959,82,24*,29.27*,7.896857373,,,,,,,,,,,,,
Florida,2006,,979,,,,441,45.04596527,147,53,36.05442177,15.01532176,58,9,15.51724138,5.924412666,43,8,18.60465116,15,1,6.666666667,194,66,34.02061856,23,5*,21.74*,19.81613892,,,,,,,,,,,,,
Florida,2007,,865,,-114,-11.64453524,359,41.50289017,154,44,28.57142857,17.80346821,81,14,17.28395062,9.36416185,61,14,22.95081967,20,0,0,185,66*,35.68*,29,7*,24.14*,21.38728324,,,,,,,,,,,,,
Florida,2008,82,944,11.51219512,79,9.132947977,381,40.36016949,162,43,26.54320988,17.16101695,73,8,10.95890411,7.733050847,43,5,11.62790698,30,3,10,190,47,24.73684211,36,2*,5.56*,20.12711864,,,,,,,,,,,,,
Florida,2009,88,912,10.36363636,-32,-3.389830508,438,48.02631579,156,66,42.30769231,17.10526316,56,6,10.71428571,6.140350877,39,5,12.82051282,17,1,5.882352941,156,66,42.30769231,22,5*,22.73*,17.10526316,,,,,,,,,,,,,
Florida,2010,92,1009,10.9673913,97,10.63596491,457,45.29236868,196,67,34.18367347,19.42517344,74,14,18.91891892,7.333994054,53,12,22.64150943,21,2,9.523809524,167,70,41.91616766,28,10*,35.72*,16.55104063,,,,,,,,,,,,,
Florida,2011,93,1017,10.93548387,8,0.792864222,503,49.45919371,171,67,39.18128655,16.81415929,85,21,24.70588235,8.357915438,59,16,27.11864407,26,5,19.23076923,209,82,39.23444976,26,5*,19.23*,20.55063913,,,,,,,,,,,,,
Florida,2012,90,1310,14.55555556,293,28.81022616,562,42.90076336,273,80,29.3040293,20.83969466,105,13,12.38095238,8.015267176,78,11,14.1025641,27,2,7.407407407,241,102,42.32365145,42,10*,23.81*,18.39694656,,,,,,,,,,,,,
Florida,2013,103,1521,14.76699029,211,16.10687023,663,43.58974359,306,107,34.96732026,20.1183432,83,16,19.27710843,5.456936226,66,15,22.72727273,5,1,20,269,120,44.60966543,47,14,29.78723404,17.68573307,,,,,,,,,,,,,
Georgia,2006,,427,,#REF!,#REF!,166,38.87587822,93,21,22.58064516,21.77985948,67,2,2.985074627,15.69086651,45,1,2.222222222,22,1,4.545454545,14,3*,21.43*,5,*,*,3.278688525,,,,,,,,,,,,,
Georgia,2007,,422,,-5,-1.170960187,213,50.47393365,68,21,30.88235294,16.11374408,40,9,22.5,9.478672986,28,7,25,12,2,16.66666667,13,3*,23.08*,1,*,*,3.08056872,,,,,,,,,,,,,
Georgia,2008,81,585,7.222222222,163,38.62559242,267,45.64102564,108,35,32.40740741,18.46153846,84,9,10.71428571,14.35897436,47,6,12.76595745,37,3,8.108108108,22,7*,31.82*,2,*,*,3.760683761,,,,,,,,,,,,,
Georgia,2009,73,583,7.98630137,-2,-0.341880342,304,52.14408233,110,51,46.36363636,18.86792453,69,7,10.14492754,11.83533448,44,5,11.36363636,25,2,8,27,11*,40.74*,3,*,*,4.631217839,,,,,,,,,,,,,
Georgia,2010,71,692,9.746478873,109,18.69639794,388,56.06936416,118,57,48.30508475,17.05202312,68,16,23.52941176,9.826589595,46,13,28.26086957,22,3,13.63636364,30,9*,30*,7,*,*,4.335260116,,,,,,,,,,,,,
Georgia,2011,65,884,13.6,192,27.74566474,448,50.67873303,154,70,45.45454545,17.42081448,79,17,21.51898734,8.936651584,64,16,25,15,1,6.666666667,54,21,38.88888889,7,*,*,6.108597285,,,,,,,,,,,,,
Georgia,2012,72,1037,14.40277778,153,17.30769231,481,46.38379942,190,66,34.73684211,18.32208293,137,22,16.05839416,13.21118611,98,18,18.36734694,39,4,10.25641026,56,21*,37.5*,11,3,27.27272727,5.400192864,,,,,,,,,,,,,
Georgia,2013,83,1261,15.19277108,224,21.60077146,644,51.07057891,229,85,37.11790393,18.16019033,129,28,21.70542636,10.22997621,96,24,25,33,4,12.12121212,71,29,40.84507042,16,6,37.5,5.630452022,,,,,,,,,,,,,
Illinois,2006,,460,,,,301,65.43478261,70,26,37.14285714,15.2173913,16,7,43.75,3.47826087,13,7,53.84615385,3,*,*,35,14,40,10,*,*,7.608695652,,,,,,,,,,,,,
Illinois,2007,,465,,5,1.086956522,294,63.22580645,73,40,54.79452055,15.69892473,14,6,42.85714286,3.010752688,12,6,50,2,*,*,27,9*,33.33*,6,*,*,5.806451613,,,,,,,,,,,,,
Illinois,2008,55,473,8.6,8,1.720430108,287,60.67653277,64,35,54.6875,13.53065539,32,6,18.75,6.765327696,25,5,20,7,1,14.28571429,32,16*,50*,4,*,*,6.765327696,,,,,,,,,,,,,
Illinois,2009,65,575,8.846153846,102,21.56448203,424,73.73913043,66,47,71.21212121,11.47826087,29,5,17.24137931,5.043478261,24,3,12.5,5,2,40,23,12,52.17391304,2,*,*,4,,,,,,,,,,,,,
Illinois,2010,77,761,9.883116883,186,32.34782609,582,76.478318,100,77,77,13.14060447,13,8,61.53846154,1.708278581,11,7,63.63636364,2,*,*,40,15,37.5,10,2*,20*,5.256241787,,,,,,,,,,,,,
Illinois,2011,84,929,11.05952381,168,22.07621551,658,70.82884822,123,80,65.04065041,13.24004306,36,14,38.88888889,3.875134553,28,13,46.42857143,8,1,12.5,116,39,33.62068966,20,4*,20*,12.48654467,,,,,,,,,,,,,
Illinois,2012,82,1199,14.62195122,270,29.06350915,819,68.30692244,183,108,59.01639344,15.26271893,47,11,23.40425532,3.919933278,33,9,27.27272727,14,2,14.28571429,113,30,26.54867257,31,6,19.35483871,9.424520434,,,,,,,,,,,,,
Illinois,2013,93,1559,16.76344086,360,30.02502085,1083,69.46760744,203,130,64.03940887,13.02116742,25,10,40,1.603592046,21,10,47.61904762,4,*,*,142,56,39.43661972,23,5,21.73913043,9.108402822,,,,,,,,,,,,,
Indiana,2006,,120,,,,90,75,15,11,73.33333333,12.5,1,*,*,0.833333333,0,0,0,1,*,*,2,*,*,0,0,0,1.666666667,,,,,,,,,,,,,
Indiana,2007,,189,,69,57.5,128,67.72486772,22,16,72.72727273,11.64021164,3,*,*,1.587301587,3,*,*,0,0,0,1,*,*,0,0,0,0.529100529,,,,,,,,,,,,,
Indiana,2008,37,178,4.810810811,-11,-5.82010582,113,63.48314607,9,8,88.88888889,5.056179775,3,*,*,1.685393258,3,*,*,0,0,0,2,*,*,0,0,0,1.123595506,,,,,,,,,,,,,
Indiana,2009,35,199,5.685714286,21,11.79775281,141,70.85427136,35,25,71.42857143,17.5879397,2,*,*,1.005025126,2,*,*,0,0,0,7,6,85.71428571,0,0,0,3.51758794,,,,,,,,,,,,,
Indiana,2010,32,178,5.5625,-21,-10.55276382,130,73.03370787,21,14,66.66666667,11.79775281,3,*,*,1.685393258,3,*,*,0,0,0,1,*,*,0,0,0,0.561797753,,,,,,,,,,,,,
Indiana,2011,31,248,8,70,39.3258427,177,71.37096774,34,19,55.88235294,13.70967742,3,*,*,1.209677419,1,*,*,2,*,*,6,*,*,3,*,*,2.419354839,,,,,,,,,,,,,
Indiana,2012,28,247,8.821428571,-1,-0.403225806,152,61.53846154,23,13,56.52173913,9.311740891,5,3,60,2.024291498,5,3,60,0,0,0,8,*,*,2,*,*,3.238866397,,,,,,,,,,,,,
Indiana,2013,32,391,12.21875,144,58.29959514,241,61.63682864,64,46,71.875,16.36828645,10,3,30,2.557544757,8,2,25,2,*,*,12,3,25,2,*,*,3.069053708,,,,,,,,,,,,,
Maryland,2006,,752,,,,491,65.29255319,119,76,63.86554622,15.82446809,67,23,34.32835821,8.909574468,42,16,38.0952381,25,7,28,26,4*,15.38*,5,*,*,3.457446809,,,,,,,,,,,,,
Maryland,2007,,808,,56,7.446808511,460,56.93069307,152,67,44.07894737,18.81188119,114,13,11.40350877,14.10891089,69,12,17.39130435,45,1,2.222222222,27,8*,29.63*,6,3*,50*,3.341584158,,,,,,,,,,,,,
Maryland,2008,102,895,8.774509804,87,10.76732673,545,60.89385475,138,71,51.44927536,15.41899441,74,27,36.48648649,8.268156425,53,21,39.62264151,21,6,28.57142857,26,10,38.46153846,4,*,*,2.905027933,,,,,,,,,,,,,
Maryland,2009,106,1038,9.79245283,143,15.97765363,672,64.73988439,205,122,59.51219512,19.7495183,120,26,21.66666667,11.56069364,84,23,27.38095238,36,3,8.333333333,34,13*,38.24*,4,*,*,3.275529865,,,,,,,,,,,,,
Maryland,2010,112,1352,12.07142857,314,30.2504817,830,61.39053254,305,159,52.13114754,22.5591716,190,34,17.89473684,14.05325444,119,27,22.68907563,71,7,9.85915493,52,25,48.07692308,12,3*,25*,3.846153846,,,,,,,,,,,,,
Maryland,2011,110,1330,12.09090909,-22,-1.627218935,830,62.40601504,297,169,56.9023569,22.33082707,174,43,24.71264368,13.08270677,121,34,28.09917355,53,9,16.98113208,62,27*,43.55*,16,7*,43.75*,4.661654135,,,,,,,,,,,,,
Maryland,2012,108,1473,13.63888889,143,10.7518797,877,59.53835709,276,161,58.33333333,18.73727088,144,35,24.30555556,9.775967413,115,30,26.08695652,29,5,17.24137931,63,25,39.68253968,16,5*,31.25*,4.276985743,,,,,,,,,,,,,
Maryland,2013,112,1629,14.54464286,156,10.59063136,1068,65.56169429,323,190,58.82352941,19.82811541,170,46,27.05882353,10.43585021,119,36,30.25210084,51,10,19.60784314,88,39,44.31818182,18,6*,33.33*,5.40208717,,,,,,,,,,,,,
Massachusetts,2006,,376,,,,248,65.95744681,65,35,53.84615385,17.28723404,13,1,7.692307692,3.457446809,6,0,0,7,1,14.28571429,10,3*,30*,4,*,*,2.659574468,,,,,,,,,,,,,
Massachusetts,2007,,398,,22,5.85106383,274,68.84422111,54,29,53.7037037,13.5678392,4,*,*,1.005025126,2,*,*,2,*,*,9,*,*,1,*,*,2.261306533,,,,,,,,,,,,,
Massachusetts,2008,46,313,6.804347826,-85,-21.35678392,220,70.28753994,41,32,78.04878049,13.09904153,3,*,*,0.958466454,1,*,*,2,*,*,15,4*,26.67*,0,0,0,4.792332268,,,,,,,,,,,,,
Massachusetts,2009,58,400,6.896551724,87,27.79552716,276,69,73,43,58.90410959,18.25,11,6,54.54545455,2.75,8,5,62.5,3,*,*,15,3*,20*,2,*,*,3.75,,,,,,,,,,,,,
Massachusetts,2010,66,503,7.621212121,103,25.75,347,68.9860835,69,45,65.2173913,13.71769384,13,3,23.07692308,2.584493042,47,6,12.76595745,37,3,8.108108108,32,8*,25*,2,*,*,6.361829026,,,,,,,,,,,,,
Massachusetts,2011,77,750,9.74025974,247,49.10536779,457,60.93333333,140,83,59.28571429,18.66666667,33,8,24.24242424,4.4,25,7,28,8,1,12.5,32,13*,40.63*,6,1,16.66666667,4.266666667,,,,,,,,,,,,,
Massachusetts,2012,87,913,10.49425287,163,21.73333333,559,61.22672508,179,89,49.72067039,19.60569551,40,7,17.5,4.381161008,31,6,19.35483871,9,1,11.11111111,50,17*,34*,11,1,9.090909091,5.47645126,,,,,,,,,,,,,
Massachusetts,2013,91,1067,11.72527473,154,16.86746988,712,66.72914714,188,116,61.70212766,17.61949391,34,13,38.23529412,3.186504217,28,12,42.85714286,6,1,16.66666667,56,22,39.28571429,16,5*,31.25*,5.248359888,,,,,,,,,,,,,
Michigan,2006,,221,,,,167,75.56561086,37,25,67.56756757,16.74208145,2,*,*,0.904977376,2,*,*,0,0,0,4,*,*,0,0,0,1.809954751,,,,,,,,,,,,,
Michigan,2007,,210,,-11,-4.977375566,138,65.71428571,32,21,65.625,15.23809524,5,0,0,2.380952381,4,*,*,1,*,*,3,*,*,0,0,0,1.428571429,,,,,,,,,,,,,
Michigan,2008,39,213,5.461538462,3,1.428571429,134,62.91079812,32,22,68.75,15.02347418,2,*,*,0.938967136,2,*,*,0,0,0,1,*,*,0,0,0,0.469483568,,,,,,,,,,,,,
Michigan,2009,45,269,5.977777778,56,26.29107981,210,78.0669145,55,48,87.27272727,20.44609665,6,2,33.33333333,2.230483271,6,2,33.33333333,0,0,0,9,*,*,3,*,*,3.345724907,,,,,,,,,,,,,
Michigan,2010,55,299,5.436363636,30,11.15241636,237,79.26421405,57,40,70.1754386,19.06354515,3,*,*,1.003344482,3,*,*,0,0,0,7,*,*,1,*,*,2.341137124,,,,,,,,,,,,,
Michigan,2011,46,389,8.456521739,90,30.10033445,322,82.77634961,74,66,89.18918919,19.02313625,2,*,*,0.514138817,2,*,*,0,0,0,10,10,100,2,*,*,2.570694087,,,,,,,,,,,,,
Michigan,2012,49,410,8.367346939,21,5.398457584,315,76.82926829,61,51,83.60655738,14.87804878,7,4,57.14285714,1.707317073,6,4,66.66666667,1,*,*,5,*,*,0,0,0,1.219512195,,,,,,,,,,,,,
Michigan,2013,48,577,12.02083333,167,40.73170732,454,78.68284229,88,68,77.27272727,15.25129983,9,6,66.66666667,1.559792028,8,6,75,1,*,*,12,5*,*,3,*,*,2.079722704,,,,,,,,,,,,,
New Jersey,2006,,740,,,,476,64.32432432,111,65,58.55855856,15,29,8,27.5862069,3.918918919,21,6,28.57142857,8,2,25,43,22*,51.16*,2,*,*,5.810810811,,,,,,,,,,,,,
New Jersey,2007,,747,,7,0.945945946,479,64.1231593,117,64,54.7008547,15.6626506,13,3,23.07692308,1.740294511,8,1,12.5,5,2,40,41,18*,43.90*,11,6*,54.55*,5.488621151,,,,,,,,,,,,,
New Jersey,2008,118,696,5.898305085,-51,-6.827309237,462,66.37931034,107,73,68.22429907,15.37356322,15,5,33.33333333,2.155172414,12,4,33.33333333,3,*,*,47,20*,42.55*,7,1*,14.29*,6.752873563,,,,,,,,,,,,,
New Jersey,2009,119,701,5.890756303,5,0.718390805,488,69.61483595,101,69,68.31683168,14.40798859,24,6,25,3.423680456,17,5,29.41176471,7,1,14.28571429,48,21*,43.75*,8,1*,12.5*,6.847360913,,,,,,,,,,,,,
New Jersey,2010,136,942,6.926470588,241,34.37945792,694,73.67303609,156,116,74.35897436,16.56050955,22,11,50,2.335456476,17,8,47.05882353,5,3,60,53,33,62.26415094,9,5*,55.56*,5.626326964,,,,,,,,,,,,,
New Jersey,2011,128,1120,8.75,178,18.89596603,748,66.78571429,193,124,64.24870466,17.23214286,34,15,44.11764706,3.035714286,24,12,50,10,3,30,55,24*,43.64*,7,*,*,4.910714286,,,,,,,,,,,,,
New Jersey,2012,133,1235,9.285714286,115,10.26785714,874,70.76923077,217,146,67.28110599,17.5708502,37,17,45.94594595,2.995951417,32,16,50,5,1,20,74,43,58.10810811,20,7*,35*,5.991902834,,,,,,,,,,,,,
New Jersey,2013,139,1582,11.38129496,347,28.09716599,1171,74.02022756,242,169,69.83471074,15.29709229,34,16,47.05882353,2.149178255,27,13,48.14814815,7,3,42.85714286,96,50,52.08333333,11,2*,18.18*,6.068268015,,,,,,,,,,,,,
New York,2006,,1141,,,,628,55.03943909,190,91,47.89473684,16.6520596,77,14,18.18181818,6.748466258,56,13,23.21428571,21,1,4.761904762,73,21,28.76712329,12,2*,16.67*,6.397896582,,,,,,,,,,,,,
New York,2007,,1175,,34,2.979842244,694,59.06382979,187,85,45.45454545,15.91489362,63,11,17.46031746,5.361702128,41,7,17.07317073,22,4,18.18181818,66,27,40.90909091,16,2*,12.5*,5.617021277,,,,,,,,,,,,,
New York,2008,120,1050,8.75,-125,-10.63829787,567,54,179,96,53.63128492,17.04761905,64,11,17.1875,6.095238095,46,8,17.39130435,18,3,16.66666667,58,26,44.82758621,8,3*,37.5*,5.523809524,,,,,,,,,,,,,
New York,2009,127,1132,8.913385827,82,7.80952381,670,59.18727915,188,91,48.40425532,16.60777385,99,17,17.17171717,8.745583039,72,15,20.83333333,27,2,7.407407407,67,24,35.82089552,13,3*,23.08*,5.918727915,,,,,,,,,,,,,
New York,2010,141,1460,10.35460993,328,28.97526502,979,67.05479452,263,161,61.21673004,18.01369863,63,13,20.63492063,4.315068493,46,11,23.91304348,17,2,11.76470588,99,47,47.47474747,15,1*,6.67*,6.780821918,,,,,,,,,,,,,
New York,2011,118,1334,11.30508475,-126,-8.630136986,868,65.06746627,233,148,63.5193133,17.46626687,61,17,27.86885246,4.572713643,52,17,32.69230769,9,0,0,75,25,33.33333333,10,3*,30*,5.622188906,,,,,,,,,,,,,
New York,2012,127,1821,14.33858268,487,36.50674663,1201,65.9527732,358,218,60.89385475,19.65952773,57,17,29.8245614,3.13014827,39,12,30.76923077,18,5,27.77777778,104,44,42.30769231,21,4*,19.05*,5.711147721,,,,,,,,,,,,,
New York,2013,124,1858,14.98387097,37,2.031850632,1278,68.78363832,377,216,57.29442971,20.29063509,68,23,33.82352941,3.6598493,49,21,42.85714286,19,2,10.52631579,150,53,35.33333333,45,10,22.22222222,8.073196986,,,,,,,,,,,,,
North Carolina,2006,,365,,,,152,41.64383562,66,20,30.3030303,18.08219178,59,9,15.25423729,16.16438356,40,7,17.5,19,2,10.52631579,11,1*,9.09*,1,*,*,3.01369863,,,,,,,,,,,,,
North Carolina,2007,,286,,-79,-21.64383562,131,45.8041958,62,21,33.87096774,21.67832168,24,4,16.66666667,8.391608392,15,3,20,9,1,11.11111111,13,3*,23.08*,3,*,*,4.545454545,,,,,,,,,,,,,
North Carolina,2008,32,347,10.84375,61,21.32867133,134,38.6167147,84,16,19.04761905,24.2074928,39,2,5.128205128,11.23919308,21,1,4.761904762,18,1,5.555555556,14,4*,28.57*,3,*,*,4.034582133,,,,,,,,,,,,,
North Carolina,2009,40,492,12.3,145,41.78674352,202,41.05691057,85,24,28.23529412,17.27642276,37,7,18.91891892,7.520325203,25,5,20,12,2,16.66666667,16,6*,37.5*,6,*,*,3.25203252,,,,,,,,,,,,,
North Carolina,2010,58,405,6.982758621,-87,-17.68292683,224,55.30864198,64,30,46.875,15.80246914,37,6,16.21621622,9.135802469,29,5,17.24137931,8,1,12.5,13,2*,15.38*,1,*,*,3.209876543,,,,,,,,,,,,,
North Carolina,2011,61,412,6.754098361,7,1.728395062,242,58.73786408,92,40,43.47826087,22.33009709,20,2,10,4.854368932,13,1,7.692307692,7,1,14.28571429,8,*,*,3,*,*,1.941747573,,,,,,,,,,,,,
North Carolina,2012,80,426,5.325,14,3.398058252,249,58.45070423,65,31,47.69230769,15.25821596,22,3,13.63636364,5.164319249,19,3,15.78947368,3,*,*,24,6*,25*,2,*,*,5.633802817,,,,,,,,,,,,,
North Carolina,2013,85,551,6.482352941,125,29.342723,347,62.97640653,63,37,58.73015873,11.43375681,28,6,21.42857143,5.081669691,22,4,18.18181818,6,2,33.33333333,22,10*,*,0,0,0,3.992740472,,,,,,,,,,,,,
Rhode Island,2006,,50,,,,22,44,13,2,15.38461538,26,7,0,0,14,4,*,*,3,*,*,8,*,*,7,*,*,16,,,,,,,,,,,,,
Rhode Island,2007,,48,,-2,-4,19,39.58333333,13,2,15.38461538,27.08333333,3,*,*,6.25,0,0,0,0,0,0,6,*,*,2,*,*,12.5,,,,,,,,,,,,,
Rhode Island,2008,5,33,6.6,-15,-31.25,19,57.57575758,6,4,66.66666667,18.18181818,1,*,*,3.03030303,0,0,0,1,*,*,3,*,*,0,0,0,9.090909091,,,,,,,,,,,,,
